C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_54_960.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_54_960.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_54_960.jpg,0,0,0,1.837116E-06
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_033.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_033.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_033.jpg,0,0,0,1.510695E-05
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_102.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_102.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_102.jpg,0,0,0,3.037451E-06
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_170.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_170.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_170.jpg,0,0,0,6.096726E-06
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_241.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_241.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_241.jpg,0,0,0,3.280927E-06
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_312.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_312.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_312.jpg,0,0,0,1.098386E-05
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_383.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_383.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_383.jpg,0,0.2055675,0,0.08519842
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_453.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_453.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_453.jpg,0,0.4169409,0,0.3777913
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_521.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_521.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_521.jpg,0,0.6214815,0,0.7711942
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_589.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_589.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_589.jpg,0,0.7920171,0,1.260137
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_659.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_659.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_659.jpg,-0.05,1,0,2.221746
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_735.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_735.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_735.jpg,-0.25,1,0,3.161379
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_808.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_808.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_808.jpg,-0.4,1,0,3.854973
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_881.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_881.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_881.jpg,0,0.8576617,0,4.708043
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_55_951.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_55_951.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_55_951.jpg,0,0.6828218,0,5.224467
C:\Users\siddh\Desktop\IMG\center_2020_06_25_19_49_56_022.jpg,C:\Users\siddh\Desktop\IMG\left_2020_06_25_19_49_56_022.jpg,C:\Users\siddh\Desktop\IMG\right_2020_06_25_19_49_56_022.jpg,0,0.4360232,0,5.711229
